conquering_cost,filename,total_scores,travelling_cost
1693.0,inputs/264.in,2881.0,1188.0
165.0,inputs/324.in,429.0,264.0
80018114.44590002,inputs/106.in,158188999.7754999,78170885.32959989
333.0,inputs/297.in,7911.0,7578.0
1059695.0,inputs/157.in,1059813.0,118.0
89.0,inputs/386.in,269.0,180.0
13570.0,inputs/341.in,38992.0,25422.0
100.0,inputs/190.in,37644.3484,37544.3484
3264.0,inputs/201.in,8280.0,5016.0
1130.9786999999992,inputs/163.in,8252.452900000006,7121.474200000006
0.0002900000000000001,inputs/132.in,43501.17605000001,43501.175760000006
471.12000000000006,inputs/3.in,38179.860000000015,37708.74000000001
10166.0,inputs/588.in,20814.496660000004,10648.496660000003
12051035831.0,inputs/619.in,12051053769.0,17938.0
32131.967799999995,inputs/648.in,86547.0138,54415.04600000001
445714.28641999996,inputs/499.in,2153142.8596400083,1707428.5732200083
2.0,inputs/708.in,8.0,6.0
3241.0,inputs/718.in,4203.0,962.0
6783.0,inputs/489.in,47219.0,40436.0
24799.0,inputs/658.in,80031.0,55232.0
19633869144.0,inputs/609.in,21093881630.0,1460012486.0
3952.0,inputs/598.in,19144.0,15192.0
755.0,inputs/122.in,1859.0,1104.0
42.0,inputs/173.in,96.0,54.0
97278.0,inputs/211.in,112052.0,14774.0
13025329.0,inputs/180.in,13034175.0,8846.0
2105.0,inputs/351.in,4633.802600000001,2528.8026000000004
212.0,inputs/240.in,1912.0,1700.0
2295924.0,inputs/300.in,11531456.0,9235532.0
361.0,inputs/396.in,1383.0,1022.0
220.0,inputs/147.in,720.4,500.4
172.0,inputs/287.in,442.0,270.0
480.0,inputs/116.in,1098.0,618.0
42285429.98000003,inputs/334.in,194848191.76000005,152562761.78000003
478.5,inputs/274.in,858.5,380.0
3.5,inputs/365.in,8.5,5.0
2.0,inputs/225.in,998.0,996.0
585.0,inputs/404.in,1897.0,1312.0
33.0,inputs/544.in,167.0,134.0
300.0,inputs/64.in,680.0,380.0
115.15099999999997,inputs/455.in,487.5809999999999,372.42999999999995
2847.0,inputs/515.in,7149.0,4302.0
108.53200000000001,inputs/684.in,369.89800000000014,261.3660000000001
77.0,inputs/35.in,331.0,254.0
86953.9988,inputs/8.in,3383622.6410000003,3296668.6422
2.29587,inputs/677.in,9.968430000000001,7.672560000000001
100.0,inputs/97.in,37600.0,37500.0
69.0,inputs/626.in,109.0,40.0
1740.3839999999998,inputs/461.in,3839.8540000000003,2099.4700000000003
146.0,inputs/570.in,332.0,186.0
21.0,inputs/50.in,371.0,350.0
689.0,inputs/430.in,7397.0,6708.0
21190.0,inputs/583.in,54174.0,32984.0
20436.0,inputs/612.in,77870.0,57434.0
24.375450000000004,inputs/643.in,1328361199.2676303,1328361174.8921804
1433.0,inputs/492.in,1547.0,114.0
3300.0,inputs/703.in,46680.0,43380.0
70.0,inputs/168.in,20148.0,20078.0
587.0,inputs/139.in,1765.0,1178.0
3116.0,inputs/129.in,12100.0,8984.0
40918.5723,inputs/178.in,287871.4286999998,246952.85639999984
145.0,inputs/482.in,4525.0,4380.0
368.0,inputs/653.in,622.0,254.0
2242.1476999999995,inputs/602.in,4700.751299999999,2458.6035999999995
213.0,inputs/593.in,1041.0,828.0
99.0,inputs/420.in,301.0,202.0
43.0,inputs/560.in,341.0,298.0
8606.0,inputs/40.in,23614.0,15008.0
2130.0,inputs/471.in,7654.000000000026,5524.000000000026
6691204.574599999,inputs/531.in,6731451.556199999,40246.981600000036
115.06999999999998,inputs/11.in,319.81,204.74000000000004
185.0,inputs/87.in,479.6,294.6
5171.0,inputs/636.in,20665.0,15494.0
171989267644.4418,inputs/667.in,473023918499.9707,301034650855.5289
39.0,inputs/694.in,115.0,76.0
24.0,inputs/505.in,116.0,92.0
83660057408.0,inputs/25.in,245800208668.0,162140151260.0
75.0,inputs/445.in,347.0,272.0
155.0,inputs/554.in,607.0,452.0
21.0,inputs/74.in,109.0,88.0
687.0,inputs/414.in,8721.0,8034.0
40.0,inputs/54.in,4118.0,4078.0
34123186.82529999,inputs/574.in,34140318.072699994,17131.247399999993
1201.0,inputs/434.in,1415.58918,214.58918
189.0,inputs/525.in,505.0,316.0
198.0,inputs/465.in,412.0,214.0
590.0,inputs/647.in,3082.0,2492.0
2713.392,inputs/707.in,6831.702399999999,4118.310399999999
87258.35347999999,inputs/496.in,238573.0969800002,151314.74350000022
4000000575.0,inputs/616.in,4000000757.0,182.0
860.28,inputs/587.in,2020.28,1160.0
30.0,inputs/451.in,250.0,220.0
1731.9279800000002,inputs/31.in,3924.32196,2192.39398
2643421.0400000005,inputs/680.in,5604834.24,2961413.1999999993
500195287.10955983,inputs/511.in,7550465292.871233,7050270005.761673
45.0,inputs/400.in,135.0,90.0
226056.0,inputs/60.in,600956.0,374900.0
2686.0,inputs/540.in,3516.0,830.0
700.0,inputs/622.in,1796.0,1096.0
1872.0,inputs/93.in,3108.0,1236.0
44080.0,inputs/673.in,44080.0376,0.03760000000000005
172388.0,inputs/158.in,172412.0,24.0
240364.0,inputs/389.in,428764.0,188400.0
666.0,inputs/298.in,15822.0,15156.0
20244.339759999995,inputs/109.in,98578.05622000003,78333.71646000003
360.0,inputs/119.in,554.0,194.0
234.0,inputs/288.in,972.0,738.0
25.0,inputs/399.in,36.46,11.46
1236.0,inputs/148.in,2496.0,1260.0
106010.0,inputs/663.in,2214574180.0,2214468170.0
5210.316000000001,inputs/723.in,12118.951199999996,6908.635199999995
117.0,inputs/632.in,309.0,192.0
23.0,inputs/83.in,131.0,108.0
11700.0,inputs/70.in,23800.0,12100.0
30753450400.590755,inputs/550.in,32527844700.590755,1774394300.0
197.0,inputs/410.in,755.0,558.0
96010.0,inputs/21.in,388006.8000000017,291996.8000000017
450.0,inputs/501.in,2160.0,1710.0
61.0,inputs/690.in,307.0,246.0
18272.740999999995,inputs/441.in,68324.70099999997,50051.959999999985
3952.0,inputs/597.in,19144.0,15192.0
6.0,inputs/606.in,14010.0,14004.0
2249.0,inputs/486.in,3071.0,822.0
984.0,inputs/717.in,1848.0,864.0
20331.0,inputs/657.in,67473.0,47142.0
515.0,inputs/475.in,763.0,248.0
164.0,inputs/15.in,362.0,198.0
385598.0,inputs/535.in,1645852.0,1260254.0
158.0,inputs/424.in,460.6,302.6
391869.113,inputs/44.in,552091.451,160222.33800000002
219.0,inputs/564.in,735.0,516.0
1740130.4161999999,inputs/575.in,1744484.0934,4353.6772
80.0,inputs/55.in,8436.0,8356.0
68.0,inputs/435.in,150.0,82.0
1282.0,inputs/524.in,1492.0,210.0
15444639734.0,inputs/464.in,15535540554.0,90900820.0
6431.0098,inputs/646.in,16047.010400000001,9616.000600000001
6415.187180000001,inputs/497.in,70827.16269999999,64411.97551999999
10103.71,inputs/706.in,22414.75420000001,12311.044200000013
997.9000000000001,inputs/586.in,2377.9,1380.0
227.0,inputs/617.in,419.0,192.0
17.0,inputs/450.in,237.0,220.0
500164210.92668974,inputs/510.in,6577668057.434432,6077503846.507742
61259043.065199986,inputs/681.in,165864128.00620002,104605084.94100003
882.2026199999999,inputs/30.in,2210.1097399999994,1327.9071199999994
250.0,inputs/401.in,261.46,11.46
3214.0,inputs/541.in,4484.0,1270.0
